profile,circuit_id,family,n,depth,instance,score_dimension,one_body_rank,walsh_order,cumulative_rank,incremental_rank,aligned_eval_retention,cumulative_tangent_retention,incremental_tangent_retention,cumulative_aligned_subspace_overlap,incremental_aligned_subspace_overlap,worst_aligned_principal_cos2
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,48,0,69,7,1,7,7,0.5098582730802058,0.4287055910465805,0.4287055910465805,0.5538889761335573,0.5538889761335573,0.0469206127162591
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,48,0,69,7,2,27,20,0.5098582730802058,0.7423690049398373,0.3136634138932567,0.8143623601577498,0.2604733840241925,0.5909920893469439
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i1,U1-RZ-XY-line,8,48,1,69,7,1,7,7,0.5097879386134683,0.4936586089801514,0.4936586089801514,0.6259122653015663,0.6259122653015663,0.1154337821529874
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i1,U1-RZ-XY-line,8,48,1,69,7,2,27,20,0.5097879386134683,0.7817241656409882,0.2880655566608368,0.860012746149409,0.2341004808478427,0.5656403275690208
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,48,2,69,7,1,7,7,0.4524103837910169,0.3999369721819108,0.3999369721819108,0.5095357363514792,0.5095357363514792,0.0235873017906618
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,48,2,69,7,2,27,20,0.4524103837910169,0.7330712778442303,0.3331343056623195,0.8381199887760538,0.3285842524245745,0.581626561816922
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,48,3,69,7,1,7,7,0.4751293321522067,0.426829391999052,0.426829391999052,0.4767150727914828,0.4767150727914828,0.0304598651096642
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,48,3,69,7,2,27,20,0.4751293321522067,0.7245234722530038,0.2976940802539518,0.7770554280349132,0.3003403552434304,0.4904915024204417
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,48,4,69,7,1,7,7,0.4917312096093205,0.4257668095493218,0.4257668095493218,0.5320366665837754,0.5320366665837754,1.8844313604653857e-05
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,48,4,69,7,2,27,20,0.4917312096093205,0.7395908400257019,0.31382403047638,0.8180500909694619,0.2860134243856865,0.5344893261002103
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i5,U1-RZ-XY-line,8,48,5,69,7,1,7,7,0.4751592076789946,0.370099645429633,0.370099645429633,0.445994650842379,0.445994650842379,0.0001509755203585
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i5,U1-RZ-XY-line,8,48,5,69,7,2,27,20,0.4751592076789946,0.6885876953313643,0.3184880499017313,0.7357341345940832,0.2897394837517041,0.4523839186835108
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i6,U1-RZ-XY-line,8,48,6,69,7,1,7,7,0.519581520009802,0.4549670395523967,0.4549670395523967,0.5222046602911051,0.5222046602911051,0.0454504217488548
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i6,U1-RZ-XY-line,8,48,6,69,7,2,27,20,0.519581520009802,0.8037621171817197,0.348795077629323,0.8412862466828501,0.319081586391745,0.557413361065803
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i7,U1-RZ-XY-line,8,48,7,69,7,1,7,7,0.4702741464078175,0.4188377633078234,0.4188377633078234,0.5506160741698788,0.5506160741698788,0.0431471554441599
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i7,U1-RZ-XY-line,8,48,7,69,7,2,27,20,0.4702741464078175,0.7147710722332864,0.295933308925463,0.8023661895491312,0.2517501153792524,0.5292005608293182
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,48,8,69,7,1,7,7,0.4893498896207806,0.4421191082402193,0.4421191082402193,0.6073524720018711,0.6073524720018711,0.0254561160250453
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,48,8,69,7,2,27,20,0.4893498896207806,0.742202040663188,0.3000829324229686,0.8385616102358252,0.231209138233954,0.5647051766162378
u1-alignment-mechanism-v1,U1-RZ-XY-line|n8|d48|i9,U1-RZ-XY-line,8,48,9,69,7,1,7,7,0.4885477937224851,0.4558967526942835,0.4558967526942835,0.5767626085222475,0.5767626085222475,0.0101642109339932
